Cagetoria-Engajamento
"Menção direta ao trailer,nulo"
"Engajamento positivo,nulo"
"Engajamento positivo,nulo"
"Engajamento positivo,nulo"
"Engajamento positivo,nulo"
"Menção direta ao trailer,baixo"
"Engajamento positivo,nulo"
"Menção direta ao trailer,baixo"
"Menção direta ao trailer,baixo"
"Engajamento positivo,nulo"
"Menção direta ao trailer,nulo"
"Engajamento positivo,baixo"
"Engajamento positivo,nulo"
"Engajamento positivo,nulo"
"Engajamento positivo,nulo"
"Engajamento positivo,nulo"
"Menção direta ao trailer,baixo"
"Crítica ideológica,nulo"
"Engajamento positivo,nulo"
"Engajamento positivo,baixo"
"Engajamento positivo,baixo"
"Menção direta ao trailer,nulo"
"Engajamento positivo,baixo"
"Engajamento positivo,baixo"
"Importância / Menção ao Elenco,baixo"
"Engajamento positivo,nulo"
"Engajamento positivo,baixo"
"Engajamento positivo,nulo"
"Engajamento positivo,nulo"
"Engajamento positivo,nulo"
"Engajamento positivo,baixo"
"Engajamento negativo,nulo"
"Engajamento positivo,baixo"
"Engajamento positivo,nulo"
"Engajamento positivo,médio"
"Engajamento positivo,nulo"
"Engajamento positivo,baixo"
"Engajamento positivo,baixo"
"Crítica ideológica,nulo"
"Menção direta ao trailer,nulo"
"Engajamento positivo,nulo"
"Engajamento negativo,baixo"
"Engajamento positivo,baixo"
"Engajamento positivo,baixo"
"Engajamento positivo,nulo"
"Engajamento positivo,nulo"
"Engajamento positivo,baixo"
"Engajamento positivo,baixo"
"Despertou curiosidade,baixo"
"Engajamento positivo,baixo"
"Engajamento positivo,nulo"
"Confusão / falta de clareza,baixo"
"Engajamento positivo,nulo"
"Importância / Menção ao Elenco,baixo"
"Menção direta ao trailer,baixo"
"Importância / Menção ao Elenco,nulo"
"Engajamento positivo,nulo"
"Confusão / falta de clareza,nulo"
"Engajamento positivo,nulo"
"Engajamento negativo,nulo"
"Engajamento positivo,baixo"
"Engajamento positivo,nulo"
"Engajamento positivo,baixo"
"Menção direta ao trailer,nulo"
"Despertou curiosidade,nulo"
"Engajamento positivo,nulo"
"Engajamento positivo,nulo"
"Engajamento positivo,nulo"
"Engajamento positivo,nulo"
"Engajamento positivo,baixo"
"Despertou curiosidade,baixo"
"Engajamento positivo,nulo"
"Engajamento positivo,baixo"
"Engajamento positivo,nulo"
"Engajamento positivo,nulo"
"Engajamento positivo,nulo"
"Engajamento positivo,nulo"
"Engajamento positivo,nulo"
"Confusão / falta de clareza,nulo"
"Menção direta ao trailer,nulo"
"Crítica ideológica,nulo"
"Menção direta ao trailer,nulo"
"Engajamento positivo,baixo"
"Engajamento positivo,nulo"
"Engajamento negativo,nulo"
"Menção direta ao trailer,nulo"
"Engajamento positivo,nulo"
"Engajamento positivo,nulo"
"Engajamento positivo,baixo"
"Engajamento positivo,nulo"
"Importância / Menção ao Elenco,baixo"
"Engajamento positivo,nulo"
"Engajamento positivo,nulo"
"Engajamento positivo,baixo"
"Engajamento negativo,nulo"
"Engajamento positivo,baixo"
"Engajamento positivo,nulo"
"Engajamento positivo,nulo"
"Engajamento positivo,nulo"
"Engajamento positivo,baixo"
"Engajamento positivo,nulo"
"Engajamento positivo,nulo"
"Engajamento positivo,baixo"
"Engajamento positivo,nulo"
"Engajamento positivo,nulo"
"Importância / Menção ao Elenco,altíssimo"
"Engajamento positivo,nulo"
"Engajamento positivo,médio"
"Menção direta ao trailer,nulo"
"Engajamento positivo,nulo"
"Menção direta ao trailer,baixo"
"Engajamento positivo,nulo"
"Engajamento positivo,nulo"
"Engajamento positivo,nulo"
"Engajamento positivo,baixo"
"Engajamento positivo,nulo"
"Engajamento negativo,baixo"
"Crítica ideológica,altíssimo"
"Engajamento positivo,nulo"
"Engajamento positivo,médio"
"Engajamento positivo,baixo"
"Engajamento positivo,nulo"
"Engajamento positivo,baixo"
"Engajamento positivo,nulo"
"Importância / Menção ao Elenco,nulo"
"Menção direta ao trailer,nulo"
"Engajamento positivo,médio"
"Engajamento positivo,nulo"
"Engajamento positivo,baixo"
"Menção direta ao trailer,nulo"
"Engajamento positivo,baixo"
"Crítica ideológica,nulo"
"Engajamento positivo,baixo"
"Engajamento positivo,altíssimo"
"Engajamento positivo,baixo"
"Engajamento positivo,baixo"
"Menção direta ao trailer,altíssimo"
"Crítica ideológica,nulo"
"Crítica ideológica,baixo"
"Engajamento positivo,nulo"
"Engajamento positivo,baixo"
"Engajamento positivo,nulo"
"Menção direta ao trailer,nulo"
"Engajamento negativo,baixo"
"Engajamento positivo,baixo"
"Engajamento positivo,baixo"
"Engajamento positivo,altíssimo"
"Engajamento positivo,nulo"
"Engajamento positivo,alto"
"Engajamento positivo,nulo"
"Engajamento positivo,baixo"
"Engajamento positivo,nulo"
"Engajamento positivo,baixo"
"Engajamento positivo,nulo"
"Engajamento positivo,nulo"
