Autor,Comentário,Data,Likes,Sentimento BERT
@Filipe1983,Estarei no cinema na pré-estreia em 7 de novembro de 2024.,2024-10-26T18:06:41Z,2,
@marciot2549,Deu muita vontade de chorar..,2024-10-26T17:12:55Z,1,
@nicefera6842,Maior hype pra ver esta obra!,2024-10-26T13:26:49Z,0,
@agrepinodossantosneves1491,É uma história que fala sobre a ditadura militar no Brasil,2024-10-26T11:07:08Z,1,
@mariafernandaf.v.s.s,QUEBRA TUDO NO OSCAR💚💚💚,2024-10-26T09:57:55Z,1,
@gleydsonsilva9733,Esse eu faço questão de assistir.,2024-10-26T01:53:24Z,1,
@millycard2448,arrepiou véi,2024-10-25T23:55:20Z,2,
@thiagomattia6789,"Carai, ansioso pra esse 🙃",2024-10-25T23:20:48Z,1,
@josecereja4156,"Saí do Odeon,na pré-estreia,emocionado e feliz por ver um filme tão formidável e com uma história tão importante e emocionante.Fiquei com a garganta presa de choro em vários momentos.Filmaço!Nota 10!",2024-10-25T22:02:45Z,6,
@luah450,"Espero que este como outros filmes, não seja tão cheio de palavrão que nem dê pra assistir.",2024-10-25T19:01:20Z,0,
@joseneto3865,Esse filme Honra os entes de todos que perderam ao longo do tempo por uma ditadura que quase retornou o poder nos anos 2022,2024-10-25T13:22:35Z,2,
@vandalooswald,Volto aqui depois pra dizer que ganhamos o Oscar de melhor filme internacional,2024-10-25T00:25:18Z,1,
@bnagmrs,"Muito emocionante o filme.. a atuação dos atores está impecável.  ASSISTAM ❤
Moro fora e pude assistir. A sala estava  lotada e não tinham só brasileiros acompanhando. Todos aplaudiram e muitos se emocionaram também. Parabéns!",2024-10-24T16:34:23Z,3,
@Rodrigo8,Não quero atrapalhar os emocionados. Mas o filme é sobre o que mesmo?,2024-10-24T13:24:42Z,0,
@lippiflausino2631,"Brasileiros e Brasileiras na estréia vamos lotar os cinemas, quem concorda curti 👍👏",2024-10-24T01:17:51Z,14,
@tahia1988,O quão ansioso eu tô,2024-10-24T01:02:38Z,0,
@yoourprince,ABSOLUTE CINEMA!,2024-10-24T00:22:15Z,1,
@fabianocr1,Filme de bosta,2024-10-24T00:15:29Z,0,
@lauroh7,"Eu estou muito ansioso pra ver no cinema, espero que chegue no da minha cidade.",2024-10-23T21:13:36Z,2,
@Alessand961,"Hoje o Brasil vive uma baixa qualidade em todas as áreas de entretenimento, e os nossos grandes atores então indo embora , sem o menor reconhecimento mais ainda a tempo de aplaudi los Fernanda Torres um monstro como a mãe Fernanda Montenegro e Selton melo , pode deixar eu irie.",2024-10-23T18:52:25Z,1,
@ALVESVANESSA-o6g,"incrível como a mensagem sobre a ditadura é comovente e impactante, mais falta alguns elementos cruciais , como a revolta armada de integrantes da extrema esquerda, que mataram vários cidadão, sequestrar embaixadores e apoiar regimes de ditadores que ainda estão no poder como em Cuba e os novos ditadores como Nicolas Maduro. bem posso ate ir ao cinema vê, mais só pra lembrar que o Brasil de hoje como potencia mundial devemos muitos ao regime militar",2024-10-23T18:19:11Z,0,
@pedrodinizf,Viva o Cinema Nacional!!,2024-10-23T17:07:29Z,2,
@samuellorenzo9823,"Para os amantes da direita, eis os fatos na íntegra!",2024-10-23T15:26:11Z,1,
@KikodoBrasil,sente a vibe,2024-10-23T14:23:24Z,0,
@buzzlion,"Pra cima, Brasil",2024-10-23T07:32:00Z,2,
@buzzlion,Vamos,2024-10-23T07:31:21Z,1,
@dom_pazzo87,Parece bom!!! Quero assistir!! ✌️🖖!,2024-10-23T05:51:27Z,1,
@josenogueiraneto7256,As Montenegro são umas espertas!  Passaram a vida toda nas tetas dos governos petistas,2024-10-23T01:26:18Z,1,
@MsBrunosol,É o filme que mais estou aguardando pra ver esse ano,2024-10-22T22:39:00Z,2,
@chicooliveira432,"filme emocionante, assisti de Mostra de SP e não vejo a hora da estreia pra assistir mais umas 10 vezes",2024-10-22T22:37:53Z,0,
@albertoraipp7637,Produção que é a cara do Walther Salles.,2024-10-22T21:59:54Z,0,
@sahyx,"credo, ja quero chorar!!!",2024-10-22T20:03:31Z,0,
@silviawrightarnesen68,Torcendo muito para ganhar o Oscar!! Super merecido!!,2024-10-22T17:38:59Z,24,
@2323felixfelix,FANTÁSTICO 👏🏾✔️,2024-10-22T13:57:03Z,1,
@o_o5574,"ele tem uma brecha com a sequência de Extraordinário (que já foi sucesso com o 1°) s Gladiador 2 (que já criou baita expectativa com o 1° trailer), fora Venom que ainda vai estar em cartaz. Veremos até onde ele dura, pensava que ele seria lançado agora com uma janela mais tranquila.",2024-10-21T20:50:29Z,1,
@RaphaelVieiraDeadpool,Se o gado vai boicotar então é porque o filme é mara.,2024-10-21T19:29:56Z,1,
@marcelomilan3169,daqui 3 meses aparece na globo!!,2024-10-21T16:54:43Z,0,
@rosangelabulhoes9135,Vou ver,2024-10-21T16:45:52Z,0,
@ruandebuenas8839,"Já é um clássico, visivelmente",2024-10-21T14:30:12Z,0,
@DanielCoimbra-ro7tc,Feliz ano velho foi o primeiro livro de hostoria real que eu li com 16 anos .antens so serie vaga lume. Adimiro o trabalho dele e torco para dar certo.a familia dele ja sofreu bastante com a ditadura e com o acidente do marcelo,2024-10-20T22:10:10Z,0,
@cinarashort1621,Incrível o trabalho da maquiagem - a Fernanda Torres está linda.,2024-10-20T20:37:38Z,1,
@danielsantsroffer8342,"Rapaz, já vou procurar o livro.",2024-10-20T18:09:25Z,1,
@GregWillians,Mostraram tão pouquinho só pra deixar a gente curioso! E conseguiram!  Rs,2024-10-20T17:44:29Z,1,
@Joaocavicha,emocionante!,2024-10-20T15:29:25Z,0,
@PeterL1993,Eu fiquei emocionado só com o trailer!!! VIVA O CINEMA NACIONAL!!! ❤️🇧🇷,2024-10-20T13:41:43Z,0,
@Mitsuichi,Ruim demais,2024-10-20T13:14:08Z,0,
@alistervieira2437,Já tô ansioser!,2024-10-20T12:42:51Z,0,
@takashi8san,Trailer belíssimo! Mt ansioso para poder ver o filme!,2024-10-19T23:14:37Z,2,
@dorismaricoraviana5089,Toda ditadura deve ser combatida nas na China Coreia do Norte espancam jovens por ouvirem músicas que consideram sujas perseguem gays censuram filmes é a liberdade para certas pessoas,2024-10-19T18:12:22Z,1,
@isabelachaves8811,Com certeza vou no cinema assistir essa obra ❤,2024-10-19T15:39:06Z,0,
@L30NFx,Apenas mais um 🗑️ nacional! 😂,2024-10-19T13:47:30Z,0,
@elianeribeirolopes2472,Ansiosa para assistir esse filmaço. 👏🏼👏🏼👏🏼,2024-10-19T12:00:39Z,0,
@Canal_shhhasmr,Vai ser a primeira vez que vou ao cinema ver um filme brasileiro ❤,2024-10-19T02:53:43Z,1,
@jonathanmike,Ansioso demais!!!!,2024-10-18T15:56:26Z,1,
@Otimistaaocontrario,Quero assistir 😊,2024-10-18T14:39:13Z,1,
@Kevin-qe9ty,OSCAR A GENTE VAI TE PEGAR,2024-10-18T02:42:13Z,2,
@yurimorroni,"""Nós vamos sorrir"" — forte demais.",2024-10-18T00:08:04Z,84,
@MiltonTejo,Topografia inserida no melhor filme do ano. Sensacional,2024-10-17T19:53:18Z,2,
@GreiceFioronti,"Ansiosa pra ver, já separei meus lenços! ❤

Gente, bora lotar na estreia. O primeiro fds é o mais importante de um filme, principalmente os nacionais,  pq dali veem se teve público e se vai continuar em cartaz.

 O q nao falta é distruidora querendo encher nossas salas ""blockbuster"" gringo. 

Bora prestigiar nosso Cinema, contar e ver a história da nossa gente! 

#Paz #Cultura #Educacao #CinemaNacional #AindaEstouAqui",2024-10-17T10:39:06Z,10,
@fxntxnxlx,Já me arrepiei todinho,2024-10-17T00:35:33Z,0,
@cavic5225,Um grande filme que eu ainda não assisti !!!!! FERNANDA TORRES FUTURE OSCAR WINNER !!!,2024-10-16T23:36:52Z,0,
@isJaum,"Afz, eu to chorando no trailer!!! 😭",2024-10-16T22:44:11Z,0,
@kellipadilha6247,"A sensação de que todo mundo já assistiu, menos nós, os brasileiros. Temos como obrigação contemplar essa obra 🎉",2024-10-16T22:41:28Z,2,
@Blaylock_17,"Imperdível, necessário  e único.",2024-10-16T20:48:54Z,1,
@eduardolobato8284,"Prestigiem esse filme, pessoal, que é baseado em um livro que retrata parte de nossa história de modo fantástico, sem contar que possui chances REAIS ao Oscar !",2024-10-16T19:49:43Z,0,
@pedrol37,Ja me emocionei só com o trailer,2024-10-16T18:07:18Z,0,
@askanisun,Como diria Romulo Mendonça.... está liberado o ufanismo no Oscar kkkkk....,2024-10-16T17:27:23Z,0,
@catarinagracio1997,"Parece espetacular!a filha herdou claramente o talento da mãe!não perco, adoro cinema brasileiro!",2024-10-16T15:06:01Z,4,
@ldx-2021,"Pra quem tá órfão de novelas excelentes da Globo e uma grande atriz,ta aí, vou assistir e apoiar",2024-10-16T11:59:45Z,1,
@pedroofrancisco1109,"Vem aí gente, se preparem",2024-10-16T01:22:38Z,1,
@JÚLIONETO1,Sony o Deus dá Guerra perdeu por causa do Atreus hahaha😵😵😵 nós não queremos mais o Atreus😭 nós queremos peitos dá Freya é dá esposa do Thor💙💖💖❤️❤️❤️❤️❤️❤️🤗✌️😍😍😍😍✌️,2024-10-16T00:39:34Z,0,
@roberto-g5e5q,Tá uma esperança  de Oscara para esse filme.Eu acharia muito bom mas acho difícil.Se ele for indicado como filme estrangeiro já tá bom porque com  na jogada é complicado.,2024-10-15T23:35:16Z,0,
@itstime6114,"Eu vou , você vai ? 
Precimos !!!",2024-10-15T23:04:21Z,0,
@tabela3065,Que orgulho de ser brasileiro!,2024-10-15T18:09:51Z,2,
@ArthurViana98,"Vou fazer um esforço pra assistir nos cinemas, mas nao prometo nada",2024-10-15T13:52:34Z,0,
@mevittor,Quero ver se é tudo isso msm,2024-10-15T04:14:06Z,0,
@mariochaves4646,Mal posso esperar para ver a Vani e o Chicó atuando juntos.,2024-10-15T01:21:06Z,0,
@Luis-f2q,A história é o quê?,2024-10-14T22:13:15Z,0,
@Ed_Lima777,Selton Mello é IGUAL ao Dep. Rubens Paiva,2024-10-14T21:05:38Z,0,
@PedroPaulo-et3py,"deve ser horrível, como sempre no cinema nacional",2024-10-14T20:17:29Z,0,
@anselmocarlosspinelli9234,Estou ansioso para a estreia desse filme aqui no Brasil!!!,2024-10-14T20:14:18Z,0,
@murilovieira2189,"Mais um filmezinho tosco com estética de novela da globo achando que vai levar alguma estatueta. Percam as esperanças, não vai levar NADA.",2024-10-14T19:37:09Z,2,
@davidsonfortunatoa3230,"Não tenho GloboPlay tem dois anos, mas vou pagar só para assistir ao filme e dar valor às obras brasileiras. Já posso sentir que será emocionante.",2024-10-14T15:35:13Z,3,
@sabrinab4193,"Um grande filme, ainda não vi",2024-10-14T02:23:47Z,0,
@wonbrriize,estou muito ansiosa!!!!,2024-10-14T02:19:15Z,0,
@lailsonbessa,Se essa mulher ganhar o Oscar é feriado nacional,2024-10-13T20:57:50Z,1,
@Zecamilleo,"É o segundo filme br com tema de ditadura que copia o plano no mar de ""moonlight"" 
PQP",2024-10-13T19:59:39Z,0,
@shootingstar8002,Ansiosa!,2024-10-13T18:55:03Z,0,
@joaoarthurmuniz4191,Walter Salles me fez chorar com um trailer,2024-10-13T17:19:26Z,1,
@alexandreneto4657,Brasileiro só quer saber de filme de herói,2024-10-13T16:20:15Z,0,
@felipe09farias,"Lá fora o filme elogiado, brasileiro só gosta de comédia pastelão, aqui não vai ter o mesmo valor.",2024-10-13T13:23:08Z,0,
@DezaLopes,"O Brasil tem tanto a mostrar, tem tanto a oferecer. A gente vê isso cotidianamente através das produções simples até as mais complexas. Temos uma gama de artistas extremamente talentosos e capazes. A cultura merece sim mais investimento e um olhar dotado de mais respeito. 

Que este filme consagre ainda mais a nossa fantástica Fernanda Torres e Walter Salles. Que mais pessoas conheçam os nossos talentos e que mais talentos possam surgir e nos encantar com a sua capacidade de entreter e nos emocionar.",2024-10-13T12:16:45Z,5,
@joaomarz,VEEM OSCARRRRR,2024-10-13T07:29:36Z,1,
@eduferreira.,"Finalmente algo novo, não aguentava mais filme sobre tráfico.",2024-10-13T02:31:33Z,1,
@welingtonliberatosantos2470,"Tem muitos bons filmes brasileiros além do oscarizável Ainda Estou Aqui, vamos prestigiá-los também. Nesse fim de semana vão ser divulgados os vencedores da Premiére Brasil do Festival do Rio.",2024-10-12T21:18:17Z,4,
@Higor589,❤❤❤,2024-10-12T20:53:03Z,1,
@ViktorRamos-rd5fc,Favoritissimo ao Oscar. Deve ser indicado a Roteiro e Atriz tambem,2024-10-12T20:24:57Z,7,
