Autor,Comentário,Data,Likes,Sentimento BERT
@nostaldance.4535,Já posso comprar o ingresso onde?! 🤩 Esse eu não perco por nada! 🇧🇷🫶🏼,2024-10-04T23:20:13Z,1,
@theogrota,VAMOS LOTAR OS CINEMAS,2024-10-04T23:09:23Z,0,
@andraaderapha,torcendo muito pelo Oscar e extremamente ansioso pra assistir no cinema ❤,2024-10-04T23:08:15Z,0,
@cirocalebio,O brilhantismo de um cinema que mostra ao mundo o que é a realidade através da arte!,2024-10-04T22:09:56Z,36,
@Edduardoat,Eu li o livro. Acho q nao vou aguentar assistir ao filme. Vou chorar o filme inteiro.,2024-10-04T21:54:37Z,49,
@Daniel-y3g1b,Aiiiiii meu coração tenho q falar da trilha sonora alguem sab de quem [e ???🥰🥰🥰🥰🥲🥲🥲🥲🥲,2024-10-04T21:54:33Z,2,
@Daniel-y3g1b,A expressoes o silencio o oculto chega a arrepiar !!!!! MELHOR ROTEIRO EM VENEZA E EU ANSIOSO PELA ESTREIA NOS CINEMAS !!!!!  AINDA ESTOU AQUI !!!!!! 😍😍😍😍😍😍😍,2024-10-04T21:43:34Z,26,
@DeilerSouza,Esse filme vai ser incrível!,2024-10-04T21:36:26Z,0,
@oprogramadelibras,Cadê a legenda nacional para pessoas surdas do Brasil???,2024-10-04T21:26:11Z,1,
@kauanysj,"vai lançar no meu aniversário, amei",2024-10-04T21:25:42Z,0,
@rafaeldoniset3,O Selton Melo tá um gostoso,2024-10-04T21:09:40Z,2,
@Louka1202,"""Nós vamos sorrir!"" 😭",2024-10-04T20:15:52Z,1,
@Gabriel-jv6jl,Fernanda winneeerr 🤞🏽🔥🎉,2024-10-04T20:14:28Z,0,
@fazendofrase,Imagina ela receber o Oscar 😮❤,2024-10-04T20:07:44Z,0,
@yurionkaraoke,Do que se trata?,2024-10-04T19:53:33Z,0,
@diegoavila25,E a ansiedade pra ver esse filme? Vem logo!,2024-10-04T19:50:23Z,0,
@estevomachado1950,Isso não ganha Oscar nunca!,2024-10-04T19:35:07Z,0,
@miguelmonteiro5343,Vamos apoiar indo ver nos cinemas!!,2024-10-04T19:22:14Z,5,
@GrizzlyAM,Vou na estreia!!!,2024-10-04T19:05:48Z,0,
@wagneralvesnegreiros2513,Aguardo ansiosamente,2024-10-04T19:02:39Z,1,
@wrtnok,"""Nós vamos sorrir!""",2024-10-04T18:50:40Z,0,
@Rsantos9920,Quero assistir mto,2024-10-04T18:46:56Z,0,
@Laubix206,ESTÃO NOS DEIXANDO SONHAR,2024-10-04T18:39:55Z,0,
@bernardinofendt2760,Parece incrível!❤,2024-10-04T18:39:07Z,0,
@RafaelCardoso299,Sensacional !!!!!!!!!!!!!!!!!,2024-10-04T18:31:06Z,0,
@sansjul,esse filme já é um acontecimento,2024-10-04T18:28:59Z,0,
@PadreMarceloR,Vamos assistir gente. Vamos bater recorde de.bilheteria,2024-10-04T18:27:10Z,13,
@oompa-loompa,"Já tinha ouvido falar, mas não fazia ideia que uma adaptação do livro do Marcelo. Gostei muito do Feliz Ano Velho, e fiquei com mais vontade de ler o Ainda Estou Aqui. E ver o filme, claro.",2024-10-04T18:14:25Z,19,
@filipemiller5126,"Que bom ver uma obra como essa no cinema nacional, ansioso e torcendo muito pra ganhar destaque nas premiações. Entretanto, estou achando o trabalho de design e edição dos materiais de divulgação e trailer bem simples e pobrinhos. Tendo em vista a visibilidade desse filme, podiam estar investindo mais.",2024-10-04T17:40:28Z,0,
@ib.2995,Lindeeeeza 🫶🏽✨✨✨✨,2024-10-04T17:22:28Z,2,
@ryannnn13,esse filme tem que ganhar todos os oscars possíveis!!,2024-10-04T17:15:10Z,0,
@mariaaraceliarocha6988,"Bora assistir galera.
👏👏👏👏👏",2024-10-04T17:06:50Z,0,
@alanhenrique24,✌️👍👍👍👏,2024-10-04T16:53:54Z,0,
@blackcanary2121,"E que venha a reparação histórica no próximo Oscars, com a  Fernanda Torres ganhando o Oscar de melhor atriz!  E quem sabe a Fernanda Montenegro recebendo uma indicação de atriz coadjuvante, não custa sonhar, não é mesmo?",2024-10-04T16:52:23Z,0,
@alanhoxoficial,"Me perdoem o palavrão, Mas CARALHO do filme. Elenco foda e dirigido pelo Walter Salles. Estarei na estreia😍",2024-10-04T16:22:03Z,0,
@YuriCae7ano,Eu não faço ideia do que aconteceu. Mas eu chorei.,2024-10-04T16:04:48Z,0,
@laariluz,nós vamos sorrir 🥹,2024-10-04T16:00:05Z,0,
@thestone2009,"Mano, o pessoal de direita é tão escroto que conseguiram se ofender com essa obra de arte, os caras acham que a ditadura era linda e pacifica.",2024-10-04T15:36:17Z,0,
@jeanlucasporf,"Chorei com o trailer, quem dirá com o filme!",2024-10-04T15:17:32Z,0,
@romcommunism,"quero tanto ver esse no cinema, não vejo a hora. tomara q seja oscar nominee e oscar winner em qualquer categoria!!! vamos cinema brasileiro <3",2024-10-04T15:15:36Z,6,
@RafaelAraujo-ep5ji,Vamos lotar as salas no dia 07 de novembro!!!!,2024-10-04T14:42:10Z,0,
@daniloinfante9595,Dezessete de novembro??? 🥵🥵🥵😡😡😡,2024-10-04T14:39:36Z,0,
@sergiofaria3229,"Esse trailer só não diz muito nada sobre história, mas tô muito animado pra assistir!",2024-10-04T14:30:02Z,0,
@FandosSimpsons2023,Com toda certeza estarei assistindo,2024-10-04T14:24:25Z,0,
@OsmildoBezerra,Já fiquei extremamente emocionado com o trailer...,2024-10-04T14:05:51Z,0,
@longhi8175,"Por favor SONY PICTURES invistam na divulgação do filme. Espalhem por salas do Brasil. O cinema da minha cidade é pequeno e quase nunca tem filmes nacional. Por favor, lutem por isso.",2024-10-04T13:40:29Z,1,
@Spikecool33,"Já estou animado, o Oscar vem pra essa obra ❤",2024-10-04T13:25:39Z,0,
@pedro.mmm9,"e ele fala sobre o quê? o personagem do selton foi morto pela ditadura, tipo vladimir herzog?",2024-10-04T12:58:21Z,1,
@GospelquizBrasilbr,o cinema brasileiro tem chances quando se produz algo de qualidade,2024-10-04T12:32:27Z,0,
@raiyaiy,VAI SER PERFEITOOOO,2024-10-04T12:08:14Z,0,
@OzzyCandido,Todos brasileiros no Cinema 7 de novembro!!!!!!!!!!!,2024-10-04T11:32:06Z,2,
@julianobelotto5769,Mais uma 💩💩💩💩,2024-10-04T09:53:10Z,0,
@crazyforgr3014,"nem vi ainda e já tô chorando, misericórdia, vou desidratar no cinema",2024-10-04T09:36:47Z,2,
@yaraalmeida9095,GRANDE FILME ainda não assisti,2024-10-04T09:13:00Z,0,
@yaraalmeida9095,VOU IR AO CINEMA ASSISTIR ESSA OBRA-PRIMA,2024-10-04T09:12:45Z,0,
@paulinhotodahora,👏👏👏,2024-10-04T06:24:54Z,0,
@Babi-jack,"Pelo tom do filme parece ser destruidor , certeza que vou chorar rios .",2024-10-04T05:36:17Z,1,
@matheusfoster8631,Lindo,2024-10-04T04:47:36Z,0,
@ernandosantos929,Filme do ano,2024-10-04T04:31:49Z,0,
@zez_gval,"Grande filme, ainda não assisti!!

Estreia 7 de novembro? Tinha visto que ia ser só em janeiro ou algo assim. Que daora, vou com certeza!",2024-10-04T03:50:12Z,2,
@juniorsantos4453,❤,2024-10-04T03:49:18Z,0,
@iuryeriky6878,Como estou ansioso para ver o filme 🎥🌟 nossa história é importante ser lembrada,2024-10-04T03:47:05Z,0,
@RCVieira88,Há muitos anos não esperava tanto por um filme brasileiro. A Fernanda Torres é uma grande atriz e o filme foi super bem recebido no exterior.,2024-10-04T03:06:51Z,1145,
@renan9122,ENTREGA O OSCAR PRA ELES AGORA,2024-10-04T03:04:03Z,0,
@eduardaramos173,Finalmente o cinema brasileiro recebendo o reconhecimento que merece!!,2024-10-04T03:03:25Z,130,
@PauloSeixas,arrepiei no trailer já,2024-10-04T02:37:59Z,0,
@leocremonezi,👏🏻👏🏻👏🏻👏🏻👏🏻,2024-10-04T02:26:36Z,0,
@DicasdaJade,Sem pé  nem cabeça..o trailer não explica nada,2024-10-04T02:25:09Z,2,
@chrystianlemos,EU VOU CHORAR LARGADO 🗣️,2024-10-04T02:19:01Z,0,
@AleAndreani1,Muito ansioso por esse filme,2024-10-04T02:10:13Z,0,
@ilfabriccio,"Se há justiça nesse mundo, esse filme tem que ganhar pelo menos um peladão reluzente",2024-10-04T02:04:03Z,0,
@fatimatertuliano,ansiosa pra esse filme!!! 🥹,2024-10-04T01:46:18Z,1,
@tiagotpr9534,Não vejo a hora de assistir ❤️,2024-10-04T01:41:59Z,0,
@rafaelsfloress,Cocô 💩💩💩💩,2024-10-04T01:22:45Z,1,
@jorgebettiol,"Não esquecer. Não perdoar. Contar esta história para que nunca mais, em lugar algum deste Continente, se repita... Repetir a exaustão: memória, verdade e justiça. Rubens Paiva (e todos os companheiros e companheiras que foram assassinados pela ditadura): presente! Hoje e sempre!",2024-10-04T01:11:14Z,659,
@luanaiannone4763,Coisa linda!!!!! Preciosidade ❤,2024-10-04T01:01:21Z,0,
@MerencianaAlmeida,Fico extremamente feliz com o cinema nacional se reerguendo. Nossas histórias precisam ser contadas❤,2024-10-04T00:57:45Z,141,
@pontesg_bia,estaremos nas salas de cinema e na torcida pelo oscar ❤,2024-10-04T00:56:41Z,5,
@gpeddino,"Vai ser difícil ganhar o Oscar de Filme Internacional. Infelizmente o páreo é duro, e os favoritos são ""Emilia Perez"" (França) e ""As Sementes da Figueira Sagrada"" (Alemanha). Mas vamos torcer.",2024-10-04T00:54:13Z,0,
@socratesmiranda,TO ANSIOSO DEMAIS POR ESSE FILME!,2024-10-04T00:52:09Z,1,
@josedagostim6059,👏👏👏👏👏😢,2024-10-04T00:45:13Z,0,
@rodolfomick5918,Fernanda Montenegro em: Ainda estou aqui...mamando na Rouanet!,2024-10-04T00:43:03Z,0,
@phdurden,Eu chorei com esse trailer meu deus,2024-10-04T00:28:22Z,0,
@vgpinheiro,"Se o filme for tão impactante quanto o livro, ele vai longe.",2024-10-04T00:11:33Z,151,
@cangicat,me arrepiei,2024-10-04T00:08:06Z,0,
@charlieP1X3L,Viva o cinema brasileiro!,2024-10-04T00:02:35Z,72,
@luanbruno4714,"Vi o trailer inteiro achando q a Fernanda ia soltar um ""Ai Sueli...."" a qualquer momento",2024-10-03T23:59:42Z,0,
@jotac042009,"Amo a Fernanda Torres, mas o trailer não diz muita coisa....
O trailer de Baby Girl com Nicole Kidman é absolutamente impactante 

Vai ser uma árdua batalha até o Oscar",2024-10-03T23:25:22Z,1,
@guilhermebuenocrf,🇧🇷,2024-10-03T23:19:27Z,0,
@Vinicius_Augusto,"Vamos divulgar, pessoal. Nossa chance",2024-10-03T23:17:52Z,1,
@viajantedotempooo,É importante que o cinema brasileiro invista cada vez mais na história do nosso país. Temos tantos acontecimentos históricos importantes que merecem ser retratados no cinema!,2024-10-03T23:14:36Z,5065,
@otouledo,ANSIOSO AQUI!!!! NUUUUU QUEREMOS OSCAR!!!!!!!,2024-10-03T23:14:35Z,2,
@maxlucas1412,🇧🇷❤️🏆 VIVA AO CINEMA BRASILEIRO!!!,2024-10-03T22:46:36Z,4,
@marthalima151,"Jesus, tô chorando com um ""tô bem filha""",2024-10-03T22:42:57Z,1086,
@Claudius1509,"“A sociedade foi Rubens Paiva, e não os fascínoras que o mataram”",2024-10-03T22:40:56Z,0,
@LueDi,"Triste que o brasileiro patriota não valoriza seu produto, ainda mais com tamanha qualidade.
Preferem a formula engessada ""americana"".",2024-10-03T22:14:33Z,1,
@klvm,já é oscar winner em nossos corações,2024-10-03T22:01:46Z,0,
@alexsilveiraperes1787,Foda demais 🥰❤️,2024-10-03T21:58:50Z,1,
@alexsilveiraperes1787,Já nasceu clássico ❤❤,2024-10-03T21:58:35Z,0,
@guto-y9f,Só pelo trailer já deu pra vê que vai ser O FILME!,2024-10-03T21:58:05Z,0,
@Xrodrigoborges,Finalmente um filme de verdade e não mais um lixo de um episódio de novela em longa-metragem.,2024-10-03T21:50:27Z,2,
@FernandoPatt,"Esse filme precisa levar tudo no Oscar, que orgulho!!!",2024-10-03T21:42:24Z,18,
@kahgirlpunk,O Oscar vem sim ❤,2024-10-03T21:32:26Z,1,
@gabrielavisu,TODO MUNDO DIA 07 DE NOVEMBRO NO CINEMA PRESTIGIANDO ESSA OBRAAAAAAA,2024-10-03T21:27:30Z,530,
@jair0quai,Emocionante só pelo trailer 🥲❤️✨,2024-10-03T21:26:15Z,0,
@gilsonoliveira7890,Estou vendo uns comentários dos Bolsoloides criticando então isso significa que é um filme incrível e inteligente!! Ansioso para ver no cinema 🎥,2024-10-03T21:06:31Z,286,
@beadickel,ótimo filme ainda não assisti,2024-10-03T21:02:18Z,0,
@bryanmamedio7338,Viva o cinema brasileiro!!!,2024-10-03T20:59:50Z,59,
@bryanmamedio7338,❤,2024-10-03T20:59:33Z,0,
@luizalberto7758,Falei questão de ir ao cinema prestigiar essa obra,2024-10-03T20:57:07Z,2,
@Stenio20,Lindo! 😍,2024-10-03T20:45:58Z,0,
@andersonrodrigues4223,Fiquei arrepiado,2024-10-03T20:44:41Z,0,
@porgaroto,Muito ansioso,2024-10-03T20:42:58Z,0,
@thomazyell,VEM AÍ!,2024-10-03T20:41:10Z,0,
@ragnaldolothbrok5750,O oscar vem agora senhores?,2024-10-03T20:39:40Z,0,
@richardybarbosa5252,EU QUERO ESSE OSCAR PAR AO BRASIL!!!!!!!! DESDE CENTRAL DO BRASIL ESSE OSCAR ESTÁ PROMETIDO. NOSSAS FERNANDAS MERECEM!,2024-10-03T20:37:14Z,8,
@ramonalves5523,Acho que nunca estive com tantas expectativas para um filme❤,2024-10-03T20:24:06Z,1,
@luiz8767,um grande filme (ainda n assisti,2024-10-03T20:22:29Z,0,
@dan_duff,AI SIM! INVESTIMENTO!!! VAMOOOOOOOOOO,2024-10-03T20:10:48Z,1,
@joaosoar3s,O olho cheio de lágrimas assistindo ao trailer... imagina vendo ao filme!! #VemOscar!!!,2024-10-03T19:55:45Z,442,
@gabrielaramalho7078,2025 o oscar vem,2024-10-03T19:52:19Z,1,
@DodoMartins2,Não perco por nada,2024-10-03T19:29:16Z,2,
@evertonfreitas6037,Ansioso pra assistir essa obra,2024-10-03T19:17:28Z,5,
@arthurlima6183,ARTE,2024-10-03T19:16:45Z,1,
@gabrieltierre8527,Ansioso demais!,2024-10-03T19:15:40Z,1,
@danielseiji6742,Chorei aqui ❤❤❤,2024-10-03T19:15:27Z,0,
@NeyMelodwarfney,Quero,2024-10-03T19:07:24Z,1,
@alexandremeireles5812,Um grande filme (ainda não assisti),2024-10-03T19:05:38Z,12,
@thiagotavares6145,"UM GRANDE FILME, JÁ ASSISTI O TRAILER",2024-10-03T19:02:38Z,0,
@-colin698,SUCESSO,2024-10-03T19:00:03Z,1,
@joemuniz520,"Por questões políticas, o filme é só pra quem fez o L, o resto não precisa ir assistir.",2024-10-03T18:58:53Z,5,
@heberttfranklin6399,vamo ganhar o oscar crlho,2024-10-03T18:52:28Z,0,
@mayraleiteprof,Arrepiada,2024-10-03T18:50:40Z,1,
@alyciahelena3829,ansiosa ❤,2024-10-03T18:48:33Z,0,
@LucasAlencar97,O primeiro trailer brasileiro que vejo que não entrega o filme inteiro. Esse é diferenciado! Já estou ansioso...,2024-10-03T18:46:08Z,3204,
@cinemarcoss,Kilindo,2024-10-03T18:45:02Z,1,
@vnascimento2481,É o primeiro filme brasileiro que estou ansiosa para assistir.,2024-10-03T18:44:17Z,16,
@filmesemusculacao,VAI GANHAR O OSCAR COMO MELHOR FILME INTERNACIONAL 🏆🎬🇧🇷🥇,2024-10-03T18:43:20Z,520,
@WellingtonOliveira_well_author,OSCAR PRAS FERNANDAAAASS! 🏆🏆,2024-10-03T18:43:06Z,6,
@murilotcarvalho,Ja quero comprar meu ingresso,2024-10-03T18:42:53Z,1,
@diegofreire4717,best picture,2024-10-03T18:36:56Z,0,
@iammatheusaraujo,Chega logo nos cinemas...,2024-10-03T18:28:54Z,1,
@ficruzz,ORGULHO!!,2024-10-03T18:24:37Z,11,
@kiyu196,E o povo brasileiro tem OBRIGAÇÃO de lotar as salas do cinema na sua estreia!,2024-10-03T18:21:27Z,5157,
@eujoaoandrade,Um grande filme que ainda não vi!,2024-10-03T18:21:17Z,192,
@josedarioleitedefreitassob2617,Que trailer 😮 Fernanda Torres incrível mdsss já merece o Oscar só pela primeira cena do trailer,2024-10-03T18:21:04Z,36,
@josueespindola5457,O Oscar dessa vez vem,2024-10-03T18:20:41Z,1,
@josedarioleitedefreitassob2617,Cada vez mais empolgado pra assistir essa obra prima 😍,2024-10-03T18:20:04Z,5,
@hluis9544,Filme incrível (Ainda não assisti),2024-10-03T18:18:01Z,4,
@LucasRodrigues363,Esse Oscar é nosso!,2024-10-03T18:13:40Z,250,
@WorldRetroGames,Nem me pagando,2024-10-03T18:08:43Z,8,
@lucasmonteiro5794,"Vai Fernandona, vinga o roubo da tua mâe, aquela que é conhecida como a maior do Brasil!",2024-10-03T18:06:33Z,409,
@gustavosilva1600,"E Oscar de Melhor Atriz vai para...
And the Oscar for Best Actress goes to...",2024-10-03T18:05:02Z,80,
